,airline_sentiment,text,tweet_created,tweet_location,score,one_hot_score
0,neutral,@southwestair are 5 people there?,2015-02-23 13:48:32 -0800,,0,"[0, 1, 0]"
1,positive,@jetblue oh yeah!!! great flight down to mexico with a wonderful crew!! thank you!!,2015-02-19 04:58:03 -0800,Bay Shore NY,1,"[0, 0, 1]"
2,positive,@southwestair you guys held our flight #330!  thank you!!!  about to take off from mdw now to oakland.  thanks,2015-02-20 18:06:41 -0800,,1,"[0, 0, 1]"
3,positive,@americanair thank you. good suggestion. i checked and we were not rebooked. we'll keep checking and looking for other flights,2015-02-22 15:39:51 -0800,"Ocean Ridge, FL",1,"[0, 0, 1]"
4,positive,@southwestair nice touch on the passbook integration!,2015-02-23 10:21:15 -0800,The AZ Desert,1,"[0, 0, 1]"
5,negative,@united unacceptable. 403 was 90 min late flight for a 'missing screw' our flight to tucson left before we even landed,2015-02-22 11:56:11 -0800,SE AZ By Way of HV,-1,"[1, 0, 0]"
6,positive,@jetblue thanks jb!! this is why i 💙 you!,2015-02-19 15:42:03 -0800,"Buffalo, NY",1,"[0, 0, 1]"
7,positive,@united you're my early frontrunner for best airline! #oscars2016,2015-02-22 21:29:14 -0800,Washington D.C. ,1,"[0, 0, 1]"
8,negative,@united y not? you're the reason we're in houston and not nyc tonight. it took the plane an hour to take off - no explanations or sorry.,2015-02-20 20:13:41 -0800,,-1,"[1, 0, 0]"
9,negative,"@united really? 3 hr delay, 4 gate changes, &amp; you boarded us, sent us back up, &amp; boarded us again.  won't change our flight. can we go now?",2015-02-23 12:06:13 -0800,,-1,"[1, 0, 0]"
10,negative,@united can you get a gate for ua4727?  turrible.,2015-02-18 17:21:54 -0800,"Chicago, IL",-1,"[1, 0, 0]"
11,neutral,"@united it just goes round &amp; round, it's be going on for weeks,",2015-02-20 10:40:02 -0800,"Celebration, FL ",0,"[0, 1, 0]"
12,positive,"@virginamerica view of downtown los angeles, the hollywood sign, and beyond that rain in the mountains! http://t.co/dw5nf0ibtr",2015-02-23 17:32:54 -0800,,1,"[0, 0, 1]"
13,neutral,@southwestair i knew i was correct! http://t.co/9eueyxawcv,2015-02-23 14:53:20 -0800,,0,"[0, 1, 0]"
14,neutral,@united there is a sector whereby it says $0 in both bags...no bag allowance at all in international flight?,2015-02-22 13:09:02 -0800,,0,"[0, 1, 0]"
15,positive,"@virginamerica another perfect flight.   how come on your planes,  the sun visors can stay down?  other carriers make you raise them?",2015-02-17 15:31:03 -0800,could be anywhere,1,"[0, 0, 1]"
16,positive,@southwestair @americanair y'all are better then @united,2015-02-22 07:08:24 -0800,,1,"[0, 0, 1]"
17,negative,@united i'm constantly having challenges with upgrades &amp; charges. in order to prevent dvt i have to pay an addtl $180 http://t.co/xc6jq70r7b,2015-02-23 20:52:47 -0800,"Madison, NJ",-1,"[1, 0, 0]"
18,positive,@usairways still not in the air for deicing of plane. i'll miss connect but customer service was helpful.i'm hoping to catch the next flight,2015-02-18 05:22:38 -0800,Any Martin Luther St.,1,"[0, 0, 1]"
19,negative,@united so many delays today...what's up with that? hoping my 12:26pm flight boards soon. #united #premier1k,2015-02-22 11:06:56 -0800,,-1,"[1, 0, 0]"
20,negative,@united no chance i wait in ord all afternoon for another flight after you screwed me. hold 5396,2015-02-23 10:34:58 -0800,"NEIN, London, or Maui. ",-1,"[1, 0, 0]"
21,positive,@united thank you for responding so promptly! i look forward to the 240 kms drive to the office to file a claim.,2015-02-19 09:53:25 -0800,,1,"[0, 0, 1]"
22,neutral,"@jetblue captain ""takes as lot of muscles to frown but just a few to smile. y'all ready to go flyin?"" i mean... now i am!",2015-02-20 13:26:20 -0800,"San Francisco, CA",0,"[0, 1, 0]"
23,negative,@united cabin pressurization issues are pretty serious. flight 1109 landed in washington because of it. my head is pounding.,2015-02-21 18:52:07 -0800,"ORLANDO, FL",-1,"[1, 0, 0]"
24,positive,@southwestair thx for your quick response and action! bf will make good use of the voucher #satisfied #happycustomer,2015-02-24 09:02:11 -0800,Canada,1,"[0, 0, 1]"
25,positive,@usairways will do. hoping for a voucher for a future flight #optimistic,2015-02-17 09:00:31 -0800,"Pittsburgh, Pa",1,"[0, 0, 1]"
26,positive,@united wanted to compliment ur phone agent jeanette for reflight booking problems rdu to sea thru sfo after connecting flight thru ewr was cancelled flightled.,2015-02-22 17:43:45 -0800,"Chapel Hill, NC",1,"[0, 0, 1]"
27,neutral,"@usairways thank you, although we're using our miles from our card and flight booking problems companion tickets which can only be booked over the phone.",2015-02-24 08:24:17 -0800,"Tampa, Florida",0,"[0, 1, 0]"
28,positive,“@jetblue: our fleet's on fleek. http://t.co/vouufrn4js” yasss jetblue ! tell them !,2015-02-23 10:27:35 -0800,561 ✈️ da globe,1,"[0, 0, 1]"
