,airline_sentiment,text,tweet_created,tweet_location,score,one_hot_score
0,neutral,@virginamerica what @dhepburn said.,2015-02-24 11:35:52 -0800,,0,"[0, 1, 0]"
1,positive,@virginamerica plus you've added commercials to the experience... tacky.,2015-02-24 11:15:59 -0800,,1,"[0, 0, 1]"
2,neutral,@virginamerica i didn't today... must mean i need to take another trip!,2015-02-24 11:15:48 -0800,Lets Play,0,"[0, 1, 0]"
3,negative,"@virginamerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",2015-02-24 11:15:36 -0800,,-1,"[1, 0, 0]"
4,negative,@virginamerica and it's a really big bad thing about it,2015-02-24 11:14:45 -0800,,-1,"[1, 0, 0]"
5,negative,"@virginamerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying va",2015-02-24 11:14:33 -0800,,-1,"[1, 0, 0]"
6,positive,"@virginamerica yes, nearly every time i fly vx this “ear worm” won’t go away :)",2015-02-24 11:13:57 -0800,San Francisco CA,1,"[0, 0, 1]"
7,neutral,"@virginamerica really missed a prime opportunity for men without hats parody, there. https://t.co/mwpg7grezp",2015-02-24 11:12:29 -0800,Los Angeles,0,"[0, 1, 0]"
8,positive,"@virginamerica well, i didn't…but now i do! :-d",2015-02-24 11:11:19 -0800,San Diego,1,"[0, 0, 1]"
9,positive,"@virginamerica it was amazing, and arrived an hour early. you're too good to me.",2015-02-24 10:53:27 -0800,Los Angeles,1,"[0, 0, 1]"
10,neutral,@virginamerica did you know that suicide is the second leading cause of death among teens 10-24,2015-02-24 10:48:24 -0800,1/1 loner squad,0,"[0, 1, 0]"
11,positive,@virginamerica i &lt;3 pretty graphics. so much better than minimal iconography. :d,2015-02-24 10:30:40 -0800,NYC,1,"[0, 0, 1]"
12,positive,@virginamerica this is such a great deal! already thinking about my 2nd trip to @australia &amp; i haven't even gone on my 1st trip yet! ;p,2015-02-24 10:30:06 -0800,NYC,1,"[0, 0, 1]"
13,positive,@virginamerica @virginmedia i'm flying your #fabulous #seductive skies again! u take all the #stress away from travel http://t.co/ahlxhhkiyn,2015-02-24 10:21:28 -0800,,1,"[0, 0, 1]"
14,positive,@virginamerica thanks!,2015-02-24 10:15:29 -0800,"San Francisco, CA",1,"[0, 0, 1]"
15,negative,@virginamerica sfo-pdx schedule is still mia.,2015-02-24 10:01:50 -0800,"palo alto, ca",-1,"[1, 0, 0]"
16,positive,@virginamerica so excited for my first cross country flight lax to mco i've heard nothing but great things about virgin america. #29daystogo,2015-02-24 09:42:59 -0800,west covina,1,"[0, 0, 1]"
17,negative,@virginamerica  i flew from nyc to sfo last week and couldn't fully sit in my seat due to two large gentleman on either side of me. help!,2015-02-24 09:39:46 -0800,this place called NYC,-1,"[1, 0, 0]"
18,positive,i ❤️ flying @virginamerica. ☺️👍,2015-02-24 09:15:00 -0800,Somewhere celebrating life. ,1,"[0, 0, 1]"
19,positive,@virginamerica you know what would be amazingly awesome? bos-fll please!!!!!!! i want to fly with only you.,2015-02-24 09:04:10 -0800,Boston | Waltham,1,"[0, 0, 1]"
20,negative,@virginamerica why are your first fares in may over three times more than other carriers when all seats are available to select???,2015-02-24 08:55:56 -0800,,-1,"[1, 0, 0]"
21,positive,@virginamerica i love this graphic. http://t.co/ut5grrwaaa,2015-02-24 08:49:01 -0800,,1,"[0, 0, 1]"
22,positive,@virginamerica i love the hipster innovation. you are a feel good brand.,2015-02-24 08:30:15 -0800,Los Angeles,1,"[0, 0, 1]"
23,neutral,@virginamerica will you be making bos&gt;las non stop permanently anytime soon?,2015-02-24 08:27:52 -0800,"Boston, MA ",0,"[0, 1, 0]"
24,negative,@virginamerica you guys messed up my seating.. i reserved seating with my friends and you guys gave my seat away ... 😡 i want free internet,2015-02-24 08:18:51 -0800,714,-1,"[1, 0, 0]"
25,negative,@virginamerica status match program.  i applied and it's been three weeks.  called and emailed with no response.,2015-02-24 07:49:15 -0800,,-1,"[1, 0, 0]"
26,negative,@virginamerica what happened 2 ur vegan food options?! at least say on ur site so i know i won't be able 2 eat anything for next 6 hrs #fail,2015-02-24 07:11:37 -0800,,-1,"[1, 0, 0]"
27,neutral,@virginamerica do you miss me? don't worry we'll be together very soon.,2015-02-24 05:44:59 -0800,"San Francisco, CA",0,"[0, 1, 0]"
28,negative,@virginamerica amazing to me that we can't get any cold air from the vents. #vx358 #noair #worstflightever #roasted #sfotobos,2015-02-24 05:05:28 -0800,"San Mateo, CA & Las Vegas, NV",-1,"[1, 0, 0]"
29,neutral,@virginamerica lax to ewr - middle seat on a red eye. such a noob maneuver. #sendambien #andchexmix,2015-02-23 23:34:30 -0800,Brooklyn,0,"[0, 1, 0]"
30,negative,"@virginamerica hi! i just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during flight booking problems 😢",2015-02-23 22:52:29 -0800,,-1,"[1, 0, 0]"
31,neutral,@virginamerica are the hours of operation for the club at sfo that are posted online current?,2015-02-23 21:35:43 -0800,"California, San Francisco",0,"[0, 1, 0]"
32,negative,"@virginamerica help, left expensive headphones on flight 89 iad to lax today. seat 2a. no one answering l&amp;f number at lax!",2015-02-23 21:10:41 -0800,Washington DC,-1,"[1, 0, 0]"
33,negative,"@virginamerica awaiting my return phone call, just would prefer to use your online self-service option :(",2015-02-23 20:55:30 -0800,,-1,"[1, 0, 0]"
